ID,Age_Group,Relevancy
1,15-24,Same-field
2,15-24,Same-field
3,15-24,Same-field
4,15-24,Same-field
5,15-24,Same-field
6,15-24,Different-but-relevant
7,15-24,Relevant
8,15-24,Relevant
9,15-24,Relevant
10,15-24,Relevant
11,15-24,Relevant
12,15-24,Relevant
13,15-24,Not-relevant
14,15-24,Not-relevant
15,15-24,Not-relevant
16,25-34,Same-field
17,25-34,Same-field
18,25-34,Same-field
19,25-34,Same-field
20,25-34,Same-field
21,25-34,Same-field
22,25-34,Same-field
23,25-34,Same-field
24,25-34,Same-field
25,25-34,Same-field
26,25-34,Same-field
27,25-34,Same-field
28,25-34,Same-field
29,25-34,Same-field
30,25-34,Same-field
31,25-34,Same-field
32,25-34,Same-field
33,25-34,Different-but-relevant
34,25-34,Different-but-relevant
35,25-34,Different-but-relevant
36,25-34,Different-but-relevant
37,25-34,Relevant
38,25-34,Relevant
39,25-34,Relevant
40,25-34,Relevant
41,25-34,Relevant
42,25-34,Relevant
43,25-34,Relevant
44,25-34,Relevant
45,25-34,Relevant
46,25-34,Relevant
47,25-34,Relevant
48,25-34,Relevant
49,25-34,Relevant
50,25-34,Relevant
51,25-34,Relevant
52,25-34,Relevant
53,25-34,Relevant
54,25-34,Relevant
55,25-34,Relevant
56,25-34,Relevant
57,25-34,Not-relevant
58,25-34,Not-relevant
59,25-34,Not-relevant
60,25-34,Not-relevant
61,25-34,Not-relevant
62,35-44,Same-field
63,35-44,Same-field
64,35-44,Same-field
65,35-44,Same-field
66,35-44,Same-field
67,35-44,Same-field
68,35-44,Same-field
69,35-44,Same-field
70,35-44,Same-field
71,35-44,Same-field
72,35-44,Same-field
73,35-44,Same-field
74,35-44,Same-field
75,35-44,Same-field
76,35-44,Same-field
77,35-44,Same-field
78,35-44,Same-field
79,35-44,Different-but-relevant
80,35-44,Different-but-relevant
81,35-44,Different-but-relevant
82,35-44,Different-but-relevant
83,35-44,Relevant
84,35-44,Relevant
85,35-44,Relevant
86,35-44,Relevant
87,35-44,Relevant
88,35-44,Relevant
89,35-44,Relevant
90,35-44,Relevant
91,35-44,Relevant
92,35-44,Relevant
93,35-44,Relevant
94,35-44,Relevant
95,35-44,Relevant
96,35-44,Relevant
97,35-44,Relevant
98,35-44,Relevant
99,35-44,Relevant
100,35-44,Relevant
101,35-44,Relevant
102,35-44,Relevant
103,35-44,Relevant
104,35-44,Not-relevant
105,35-44,Not-relevant
106,35-44,Not-relevant
107,35-44,Not-relevant
108,35-44,Not-relevant
109,45-54,Same-field
110,45-54,Same-field
111,45-54,Same-field
112,45-54,Same-field
113,45-54,Same-field
114,45-54,Same-field
115,45-54,Same-field
116,45-54,Same-field
117,45-54,Same-field
118,45-54,Same-field
119,45-54,Same-field
120,45-54,Same-field
121,45-54,Same-field
122,45-54,Same-field
123,45-54,Different-but-relevant
124,45-54,Different-but-relevant
125,45-54,Different-but-relevant
126,45-54,Different-but-relevant
127,45-54,Relevant
128,45-54,Relevant
129,45-54,Relevant
130,45-54,Relevant
131,45-54,Relevant
132,45-54,Relevant
133,45-54,Relevant
134,45-54,Relevant
135,45-54,Relevant
136,45-54,Relevant
137,45-54,Relevant
138,45-54,Relevant
139,45-54,Relevant
140,45-54,Relevant
141,45-54,Relevant
142,45-54,Relevant
143,45-54,Relevant
144,45-54,Not-relevant
145,45-54,Not-relevant
146,45-54,Not-relevant
147,45-54,Not-relevant
148,55-64,Same-field
149,55-64,Same-field
150,55-64,Same-field
151,55-64,Same-field
152,55-64,Same-field
153,55-64,Same-field
154,55-64,Same-field
155,55-64,Same-field
156,55-64,Same-field
157,55-64,Different-but-relevant
158,55-64,Different-but-relevant
159,55-64,Relevant
160,55-64,Relevant
161,55-64,Relevant
162,55-64,Relevant
163,55-64,Relevant
164,55-64,Relevant
165,55-64,Relevant
166,55-64,Relevant
167,55-64,Relevant
168,55-64,Relevant
169,55-64,Relevant
170,55-64,Not-relevant
171,55-64,Not-relevant
172,55-64,Not-relevant
173,65-74,Same-field
174,65-74,Same-field
175,65-74,Different-but-relevant
176,65-74,Relevant
177,65-74,Relevant
178,65-74,Relevant
179,65-74,Not-relevant
